FUNDS
CREDICORP CAPITAL ALTA LIQUIDEZ
FONVAL ACCIONES PETROLERAS I
FONVAL ACCIONES ECOPETROL
FONDO DE INVERSION COLECTIVA INMOBILIARIO INMOVAL
CREDICORP CAPITAL RENTA FIJA GLOBAL
FONVAL DEUDA PUBLICA MEDIANO PLAZO
FCP 4G CREDICORP - SURA AM COMP DPII
FCP CREDICORP CAPITAL REAL ESTATE 2011
FONVAL OPORTUNIDAD
FONVAL GLOBAL VISTA
FONVAL GLOBAL BALANCEADO
CP VAL DISTRIBUCION Y TRANSPORTE DE GAS
ACTIVAL A.O.
CREDICORP CAPITAL INNOVACION LATAM
FONVAL GLOBAL ESTRUCTURADO V
FONVAL 24-2
FONVAL GLOBAL ALTERNATIVO
FONVAL 30
FONVAL GLOBAL CONSERVADOR
FONVAL GLOBAL ESTRUCTURADO III
FONVAL GLOBAL DEUDA EEUU
FCP EMPRENDIMIENTO E INNOVACION S P
CREDICORP CAPITAL OPORTUNIDAD RENTA FIJA II
CREDICORP CAPITAL ESTRATEGICO
FONVAL GLOBAL DINAMICO
CPVAL DISTRIBUCION DE COMBUSTIBLES
CREDICORP CAPITAL BALANCEADO
FONVAL RENTA FIJA ALTO RENDIMIENTO
FONVAL GLOBAL ESTRUCTURADO II
CREDICORP CAPITAL ACCIONES COLOMBIA
FONVAL ACCIONES
CREDICORP CAPITAL DEUDA CORPORATIVA LATAM
FONVAL ACCIONES VALOR
CREDICORP CAPITAL  BALANCEADO III
CREDICORP CAPITAL ACCIONES GLOBALES
ULTRAINVERSION EN LIQUIDACIÓN
CREDICORP CAPITAL ACCIONES LATAM
CREDICORP CAPITAL FACTORING
FONVAL GLOBAL ESTRUCTURADO VI
CREDICORP CAPITAL VISTA
CREDICORP CAPITAL GLOBAL BALANCEADO
FIC OPORTUNIDAD RENTA FIJA III
CPVAL TERMICO
CREDICORP CAPITAL DEUDA CORPORATIVA
FONVAL GLOBAL DEUDA ALTO RENDIMIENTO
FONVAL GLOBAL AGRESIVO
INMOVAL DESARROLLOS EN LIQUIDACIÓN
CPVAL HIDROCARBUROS
FCP CREDICORP CAPITAL AGRONEGOCIOS - CACAO
FONVAL 24
FONVAL DERECHOS ECONOMICOS 2020 - EN LIQUIDACION
FONVAL GLOBAL COMMODITIES
GLOVAL FONDO DE VALORES
CREDICORP CAPITAL ESTRUCTURADO IX
FONVAL GLOBAL NOTA ACCIONES AMERICANAS
FONVAL GLOBAL FONDOS INMOBILIARIOS
FID FCP 4G CREDICORP-SURA AM COMP LIQUIDEZ 1
CREDICORP CAPITAL HOLDINGS COLOMBIA
FCP EMPRENDIMIENTO E INNOVACION SP
FCP CREDICORP CAPITAL DEUDA PRIVADA I
FONVAL DEUDA PUBLICA
CREDICORP CAPITAL RENTA FIJA DISTRIBUTIVA
FONVAL GLOBAL MODERADO
FICC CCAPITAL ESTRUCTURADO X
FONVAL DERECHOS ECONOMICOS 2017
CREDICORP CAPITAL RENTA FIJA ALTO RENDIMIENTO
ACTIVAL DC 2
CREDICORP CAPITAL VISION
FONVAL ACCIONES RECURSOS NATURALES
FCP DEUDA INFRAESTRUCTURA II CREDICORP CAPITAL SUR
CREDICORP CAPITAL RENTA FIJA COLOMBIA
COMPARTIMENTO B
ACTIVAL DC1
FONVAL GLOBAL ESTRUCTURADO IV
CREDICORP CAPITAL OPORTUNIDAD RENTA FIJA I
CREDICORP CAPITAL ACCIONES GEA
CREDICORP CAPITAL DERECHOS ECONOMICOS 2026
CREDICORP CAPITAL DOLAR EFECTIVO
CPVAL ELECTRICO
